城市,行政区,观测站,气温(度),相对湿度(%),累积雨量(mm)
新北市,烏來區,福山,13.7,92.0,0.0
臺南市,安平區,安平,23.5,70.0,0.0
臺東縣,東河鄉,七塊厝,19.6,86.0,0.0
新北市,貢寮區,福隆,14.2,96.0,-99
南投縣,仁愛鄉,小奇萊,8.3,57.0,0.0
嘉義縣,大林鎮,大林,23.2,63.0,0.0
花蓮縣,玉里鎮,玉里,18.5,85.0,0.0
嘉義市,東區,嘉義市東區,25.0,64.0,0.0
宜蘭縣,頭城鎮,龜山島,12.0,100.0,0.5
新北市,平溪區,火燒寮,12.3,100.0,2.5
彰化縣,大城鄉,三豐,17.4,81.0,0.0
雲林縣,斗六市,斗六,23.0,58.0,0.0
南投縣,魚池鄉,魚池,26.3,50.0,0.0
臺東縣,海端鄉,向陽,16.3,71.0,0.0
屏東縣,竹田鄉,竹田,26.7,80.0,0.0
苗栗縣,造橋鄉,造橋,-99,-9900.0,-99
新北市,石門區,白沙灣,13.7,90.0,8.5
苗栗縣,頭屋鄉,明德,17.0,65.0,-99
臺南市,下營區,下營,26.2,58.0,0.0
屏東縣,萬丹鄉,萬丹,27.0,62.0,0.0
新北市,三峽區,三峽,16.5,67.0,-99
宜蘭縣,頭城鎮,桃源谷,11.3,100.0,20.0
彰化縣,大城鄉,大城,19.2,72.0,0.0
臺中市,大里區,大里,24.3,50.0,0.0
臺中市,西屯區,西屯,-99,-9900.0,-99
臺東縣,鹿野鄉,鹿野,18.2,85.0,0.0
嘉義縣,太保市,太保,23.9,61.0,0.0
臺南市,學甲區,學甲,22.2,66.0,0.0
屏東縣,新園鄉,新園,25.4,76.0,0.0
宜蘭縣,頭城鎮,大溪漁港,14.9,87.0,8.0
臺中市,清水區,清水,17.8,80.0,0.0
臺南市,新化區,虎頭埤,26.1,67.0,0.0
臺中市,石岡區,石岡,19.4,99.0,0.0
屏東縣,枋山鄉,枋山,25.1,67.0,0.0
屏東縣,滿州鄉,滿州,22.6,79.0,0.0
屏東縣,恆春鎮,墾雷,23.6,82.0,0.0
桃園市,楊梅區,楊梅,13.4,88.0,3.0
臺東縣,卑南鄉,檳榔四格山,18.8,88.0,0.0
嘉義縣,六腳鄉,六腳,22.3,67.0,0.0
雲林縣,斗南鎮,斗南,22.5,64.0,0.0
臺南市,北區,臺南市北區,24.7,66.0,0.0
雲林縣,古坑鄉,棋山,24.3,56.0,1.0
屏東縣,內埔鄉,三地門,28.5,53.0,0.0
臺東縣,太麻里鄉,太麻里,17.7,91.0,0.0
宜蘭縣,礁溪鄉,大礁溪,14.6,87.0,0.0
屏東縣,恆春鎮,山海,24.2,67.0,0.0
新北市,樹林區,山佳,16.4,74.0,6.5
臺南市,官田區,官田,25.1,64.0,0.0
高雄市,燕巢區,阿公店,25.8,62.0,0.0
宜蘭縣,南澳鄉,西德山,9.1,100.0,4.5
彰化縣,溪州鄉,溪州,21.8,59.0,0.0
彰化縣,伸港鄉,伸港,18.4,75.0,0.0
南投縣,仁愛鄉,奇萊稜線A,-99,-9900.0,0.0
雲林縣,土庫鎮,土庫,21.8,68.0,0.0
屏東縣,恆春鎮,大坪頂,24.8,68.0,0.0
花蓮縣,壽豐鄉,月眉山,15.2,97.0,0.5
臺北市,士林區,平等,13.5,93.0,6.5
