城市,天气现象,最高温(度),最低温(度),舒适度,降雨机率(%)
嘉義縣,晴時多雲,22,18,稍有寒意至舒適,10
新北市,陰短暫雨,16,14,寒冷至稍有寒意,90
嘉義市,晴時多雲,24,19,稍有寒意至舒適,10
新竹縣,陰天,17,15,寒冷至稍有寒意,10
新竹市,陰天,17,15,寒冷至稍有寒意,10
臺北市,陰短暫雨,15,13,寒冷,60
臺南市,晴時多雲,23,19,稍有寒意至舒適,10
宜蘭縣,陰短暫雨,16,15,寒冷至稍有寒意,30
苗栗縣,多雲,18,15,寒冷至稍有寒意,10
雲林縣,晴時多雲,22,18,稍有寒意至舒適,10
花蓮縣,陰天,21,18,稍有寒意至舒適,10
臺中市,晴時多雲,22,18,稍有寒意至舒適,10
臺東縣,陰天,23,20,稍有寒意至舒適,10
桃園市,陰短暫雨,16,14,寒冷至稍有寒意,60
南投縣,晴時多雲,23,19,稍有寒意至舒適,10
高雄市,晴時多雲,25,22,舒適,10
金門縣,陰短暫雨,16,13,寒冷至稍有寒意,30
屏東縣,多雲時陰,27,23,舒適,10
基隆市,陰有雨,15,14,寒冷,90
澎湖縣,陰天,18,14,寒冷至稍有寒意,10
彰化縣,晴時多雲,20,17,稍有寒意,10
連江縣,陰天,10,9,非常寒冷,10
