县市,行政区,AQI,空气品质
基隆市,基隆,36,良好
新北市,汐止,29,良好
新北市,萬里,55,普通
新北市,新店,25,良好
新北市,土城,25,良好
新北市,板橋,29,良好
新北市,新莊,27,良好
新北市,菜寮,26,良好
新北市,林口,32,良好
新北市,淡水,37,良好
臺北市,士林,24,良好
臺北市,中山,29,良好
臺北市,萬華,,良好
臺北市,古亭,31,良好
臺北市,松山,28,良好
臺北市,大同,37,良好
桃園市,桃園,28,良好
桃園市,大園,41,良好
桃園市,觀音,42,良好
桃園市,平鎮,42,良好
桃園市,龍潭,29,良好
新竹縣,湖口,31,良好
新竹縣,竹東,22,良好
新竹市,新竹,40,良好
苗栗縣,頭份,24,良好
苗栗縣,苗栗,24,良好
苗栗縣,三義,23,良好
臺中市,豐原,17,良好
臺中市,沙鹿,25,良好
臺中市,大里,19,良好
臺中市,忠明,26,良好
臺中市,西屯,22,良好
彰化縣,彰化,36,良好
彰化縣,線西,40,良好
彰化縣,二林,45,良好
南投縣,南投,25,良好
雲林縣,斗六,36,良好
雲林縣,崙背,37,良好
嘉義縣,新港,38,良好
嘉義縣,朴子,32,良好
雲林縣,臺西,39,良好
嘉義市,嘉義,28,良好
臺南市,新營,29,良好
臺南市,善化,35,良好
臺南市,安南,42,良好
臺南市,臺南,50,良好
高雄市,美濃,47,良好
高雄市,橋頭,42,良好
高雄市,仁武,56,普通
高雄市,鳳山,56,普通
高雄市,大寮,70,普通
高雄市,林園,56,普通
高雄市,楠梓,40,良好
高雄市,左營,53,普通
高雄市,前金,50,良好
高雄市,前鎮,49,良好
高雄市,小港,60,普通
屏東縣,屏東,58,普通
屏東縣,潮州,67,普通
屏東縣,恆春,33,良好
臺東縣,臺東,27,良好
花蓮縣,花蓮,24,良好
臺北市,陽明,27,良好
宜蘭縣,宜蘭,24,良好
宜蘭縣,冬山,23,良好
新北市,三重,50,良好
桃園市,中壢,43,良好
南投縣,竹山,24,良好
新北市,永和,36,良好
高雄市,復興,56,普通
南投縣,埔里,27,良好
連江縣,馬祖,57,普通
金門縣,金門,35,良好
澎湖縣,馬公,34,良好
臺東縣,關山,25,良好
雲林縣,麥寮,77,普通
新北市,富貴角,56,普通
彰化縣,大城,35,良好
彰化縣,彰化(員林),20,良好
高雄市,高雄(湖內),43,良好
臺南市,臺南(麻豆),30,良好
屏東縣,屏東(琉球),72,普通
宜蘭縣,宜蘭(壯圍),29,良好
新北市,新北(樹林),37,良好
臺南市,臺南(學甲),58,普通
屏東縣,屏東(枋山),77,普通
